Row Names,image_auroc,image_ap,pixel_auroc,pixel_ap,pixel_pro,f2_score,best_threshold,best_epoch
mvtec_thermal_image,0.6666666666666667,0.3333333333333333,0.6079222870156781,0.011770235107209403,0.22370456189356097,0.0,0.46212676,9
Mean,0.6666666666666667,0.3333333333333333,0.6079222870156781,0.011770235107209403,0.22370456189356097,0.0,0.46212676,9.0
